Date,State,International Airport,New Indian,New Foreigner,Recovered,Fatal,Quarantine count,Temperature,Humidity,Population Density,Alert/Lockdown state,Tourism,Total Indian,Total Foreigner,Total recovered,Total decesed,Indian Diff,Foreigner Diff,Indian percentage increment,Foreign percentage increment,Statewise increement,,Statewise recovered increment,Statewise deceased increment,Statewise increment percentage,Statewise number of tests,LS Factor
3/15/2020,AP,0,1,0,0,0,,31,80,303,0,0,91,19,10,2,,,,,1,0,0,0,0,,0.046040516
3/15/2020,DL,1,7,0,2,1,,26,84,11297,0,1,,,,,,,,,7,0,0,0,0,,0.012891344
3/15/2020,HR,0,0,14,0,0,,26,58,573,0,0,,,,,,,,,0,0,0,0,0,,0.018416206
3/15/2020,KA,1,7,0,0,1,,33,52,319,0,0,,,,,,,,,7,0,0,0,0,,0.051565378
3/15/2020,KL,1,22,2,3,0,,33,76,859,0,1,,,,,,,,,22,0,0,0,0,,0.036832413
3/15/2020,MH,1,31,0,0,0,,34,0,365,0,0,,,,,,,,,31,0,0,0,0,,0.08839779
3/15/2020,PB,0,1,0,0,0,,24,74,550,0,0,,,,,,,,,1,0,0,0,0,,0.023941068
3/15/2020,RJ,0,2,2,0,0,,26,37,201,0,1,,,,,,,,,2,0,0,0,0,,0.046040516
3/15/2020,TN,1,1,0,0,0,,32,74,555,0,0,,,,,,,,,1,0,0,0,0,,0.071823204
3/15/2020,TG,1,3,0,1,0,,34,57,312,0,0,,,,,,,,,3,0,0,0,0,,0.031307551
3/15/2020,UP,0,11,1,4,0,,27,69,828,0,1,,,,,,,,,11,0,0,0,0,,0.14732965
3/15/2020,UTJK,0,2,0,0,0,,13,63,98,0,0,,,,,,,,,2,0,0,0,0,,0.009208103
3/15/2020,UTL,0,3,0,0,0,,1,63,2.8,0,1,,,,,,,,,3,0,0,0,0,,0.001841621
3/16/2020,AP,0,1,0,0,0,,31,89,303,0,0,98,19,13,2,7,0,0.076923077,,0,0,0,0,0,,0.046040516
3/16/2020,DL,1,7,0,2,1,,26,92,11297,0,1,,,,,,,,,0,0,0,0,0,,0.012891344
3/16/2020,HR,0,0,14,0,0,,26,64,573,0,0,,,,,,,,,0,0,0,0,0,,0.018416206
3/16/2020,KA,1,7,0,0,1,,33,55,319,0,0,,,,,,,,,0,0,0,0,0,,0.051565378
